time,status,attention,faces,yawns
2025-12-21T18:40:35.948241,Not Present ❌,0,0,0
2025-12-21T18:40:35.972705,Active,100,1,0
2025-12-21T18:40:35.983705,Active,100,1,0
2025-12-21T18:40:36.000694,Active,100,1,0
2025-12-21T18:40:36.015789,Active,100,1,0
2025-12-21T18:40:36.034035,Active,100,1,0
2025-12-21T18:40:36.044523,Active,100,1,0
2025-12-21T18:40:36.085717,Active,100,1,0
2025-12-21T18:40:36.121404,Active,100,1,0
2025-12-21T18:40:36.174045,Active,100,1,0
2025-12-21T18:40:36.196211,Active,100,1,0
2025-12-21T18:40:36.217010,Active,100,1,0
2025-12-21T18:40:36.247689,Active,100,1,0
2025-12-21T18:40:36.281336,Active,100,1,0
2025-12-21T18:40:36.329725,Active,100,1,0
2025-12-21T18:40:36.363401,Active,100,1,0
2025-12-21T18:40:36.395122,Active,100,1,0
2025-12-21T18:40:36.410223,Active,100,1,0
2025-12-21T18:40:36.453210,Active,100,1,0
2025-12-21T18:40:36.475714,Active,100,1,0
2025-12-21T18:40:36.510801,Active,100,1,0
2025-12-21T18:40:36.543693,Active,100,1,0
2025-12-21T18:40:36.601347,Active,100,1,0
2025-12-21T18:40:36.631459,Active,100,1,0
2025-12-21T18:40:36.662646,Active,100,1,0
2025-12-21T18:40:36.696682,Active,100,1,0
2025-12-21T18:40:36.726125,Active,100,1,0
2025-12-21T18:40:36.761918,Active,100,1,0
2025-12-21T18:40:36.795261,Active,100,1,0
2025-12-21T18:40:36.828172,Active,100,1,0
2025-12-21T18:40:36.844791,Active,100,1,0
2025-12-21T18:40:36.889506,Active,100,1,0
2025-12-21T18:40:36.910179,Active,100,1,0
2025-12-21T18:40:36.959722,Active,100,1,0
2025-12-21T18:40:37.037796,Active,100,1,0
2025-12-21T18:40:37.059288,Active,100,1,0
2025-12-21T18:40:37.092751,Active,100,1,0
2025-12-21T18:40:37.125911,Active,100,1,0
2025-12-21T18:40:37.158306,Active,100,1,0
2025-12-21T18:40:37.192856,Active,100,1,0
2025-12-21T18:40:37.225903,Active,100,1,0
2025-12-21T18:40:37.259375,Active,100,1,0
2025-12-21T18:40:37.277208,Active,100,1,0
2025-12-21T18:40:37.306817,Active,100,1,0
2025-12-21T18:40:37.358910,Active,100,1,0
2025-12-21T18:40:37.392399,Active,100,1,0
2025-12-21T18:40:37.425948,Active,100,1,0
2025-12-21T18:40:37.451911,Active,100,1,0
2025-12-21T18:40:37.492848,Active,100,1,0
2025-12-21T18:40:37.525673,Active,100,1,0
2025-12-21T18:40:37.559245,Active,100,1,0
2025-12-21T18:40:37.593213,Active,100,1,0
2025-12-21T18:40:37.625185,Active,100,1,0
